Site,Image Count,Histogram Bin,Vis 1.0,Vis 2.0,Vis 3.0,Vis 4.0,Vis 5.0,Vis 6.0,Vis 7.0,Vis 8.0,Vis 9.0,Vis 10.0
SITE442,42,26-50,0,0,15,0,8,11,8,0,0,0
SITE443,6,0-25,0,0,0,1,0,0,5,0,0,0
SITE446,27,26-50,0,0,6,4,6,7,4,0,0,0
SITE447,9,0-25,0,0,3,3,3,0,0,0,0,0
SITE45,51,51-75,0,0,7,10,8,7,19,0,0,0
SITE453,6,0-25,0,0,1,1,0,3,1,0,0,0
SITE454,12,0-25,0,0,0,1,3,2,6,0,0,0
SITE455,13,0-25,0,0,8,1,1,1,2,0,0,0
SITE457,8,0-25,0,0,2,0,1,5,0,0,0,0
SITE460,15,0-25,0,0,4,0,7,2,2,0,0,0
SITE461,11,0-25,0,0,2,1,3,5,0,0,0,0
SITE462,4,0-25,0,0,0,0,4,0,0,0,0,0
SITE463,15,0-25,0,0,7,2,4,2,0,0,0,0
SITE464,11,0-25,0,0,3,1,3,3,1,0,0,0
SITE465,1,0-25,0,0,0,0,1,0,0,0,0,0
SITE467,8,0-25,0,0,0,6,2,0,0,0,0,0
SITE468,25,0-25,0,0,7,0,0,18,0,0,0,0
SITE469,20,0-25,0,0,2,9,1,6,2,0,0,0
SITE471,28,26-50,0,0,7,0,4,17,0,0,0,0
SITE472,6,0-25,0,0,1,0,2,1,2,0,0,0
SITE474,11,0-25,0,0,0,1,7,2,1,0,0,0
SITE476,6,0-25,0,0,4,0,2,0,0,0,0,0
SITE477,16,0-25,0,0,3,1,8,3,1,0,0,0
SITE48,40,26-50,0,0,11,5,12,8,4,0,0,0
SITE480,7,0-25,0,0,0,0,4,3,0,0,0,0
SITE481,16,0-25,0,0,1,9,6,0,0,0,0,0
SITE483,23,0-25,0,0,7,0,10,6,0,0,0,0
SITE484,1,0-25,0,0,0,1,0,0,0,0,0,0
SITE485,8,0-25,0,0,5,0,2,1,0,0,0,0
SITE486,8,0-25,0,0,5,2,0,0,1,0,0,0
SITE49,42,26-50,0,0,10,10,4,11,7,0,0,0
SITE490,22,0-25,0,0,6,0,7,8,1,0,0,0
SITE492,17,0-25,0,0,0,0,0,13,4,0,0,0
SITE494,1,0-25,0,0,0,0,0,0,1,0,0,0
SITE496,8,0-25,0,0,1,0,4,1,2,0,0,0
SITE5,23,0-25,0,0,4,0,8,4,7,0,0,0
SITE50,1,0-25,0,0,1,0,0,0,0,0,0,0
SITE505,11,0-25,0,0,3,2,0,2,4,0,0,0
SITE506,19,0-25,0,0,4,0,0,12,3,0,0,0
SITE507,10,0-25,0,0,0,1,5,0,4,0,0,0
SITE508,41,26-50,0,0,3,8,6,17,7,0,0,0
SITE510,15,0-25,0,0,6,2,1,4,2,0,0,0
SITE512,4,0-25,0,0,0,1,3,0,0,0,0,0
SITE517,3,0-25,0,0,1,0,1,1,0,0,0,0
SITE519,4,0-25,0,0,2,0,0,0,2,0,0,0
SITE520,25,0-25,0,0,6,4,4,10,1,0,0,0
SITE521,19,0-25,0,0,0,5,4,10,0,0,0,0
SITE522,18,0-25,0,0,0,5,7,2,4,0,0,0
SITE528,19,0-25,0,0,7,3,6,3,0,0,0,0
SITE53,20,0-25,0,0,3,10,4,0,3,0,0,0
SITE530,3,0-25,0,0,0,1,0,2,0,0,0,0
SITE533,7,0-25,0,0,3,2,0,2,0,0,0,0
SITE534,3,0-25,0,0,0,0,2,1,0,0,0,0
SITE538,10,0-25,0,0,6,0,4,0,0,0,0,0
SITE539,11,0-25,0,0,0,0,8,3,0,0,0,0
SITE54,1,0-25,0,0,0,0,1,0,0,0,0,0
SITE540,3,0-25,0,0,0,0,3,0,0,0,0,0
SITE541,10,0-25,0,0,7,0,3,0,0,0,0,0
SITE542,13,0-25,0,0,1,0,0,7,5,0,0,0
SITE543,10,0-25,0,0,0,0,0,2,8,0,0,0
SITE545,10,0-25,0,0,0,4,4,0,2,0,0,0
SITE547,3,0-25,0,0,0,3,0,0,0,0,0,0
SITE556,14,0-25,0,0,3,0,0,0,11,0,0,0
SITE557,46,26-50,0,0,3,3,12,17,11,0,0,0
SITE561,14,0-25,0,0,4,0,0,4,6,0,0,0
SITE563,16,0-25,0,0,8,0,0,1,7,0,0,0
SITE564,16,0-25,0,0,0,3,0,6,7,0,0,0
SITE566,14,0-25,0,0,8,2,4,0,0,0,0,0
SITE568,24,0-25,0,0,2,0,0,8,14,0,0,0
SITE569,43,26-50,0,0,0,0,4,8,31,0,0,0
SITE570,6,0-25,0,0,0,0,2,0,4,0,0,0
SITE571,8,0-25,0,0,2,0,0,0,6,0,0,0
SITE572,7,0-25,0,0,0,0,0,4,3,0,0,0
SITE574,11,0-25,0,0,0,0,0,5,6,0,0,0
SITE575,35,26-50,0,0,7,3,11,3,11,0,0,0
SITE577,12,0-25,0,0,0,4,4,0,4,0,0,0
SITE578,17,0-25,0,0,0,0,4,0,13,0,0,0
SITE58,62,51-75,0,0,22,5,13,8,14,0,0,0
SITE580,11,0-25,0,0,3,0,2,6,0,0,0,0
SITE581,35,26-50,0,0,0,0,19,12,4,0,0,0
SITE582,3,0-25,0,0,0,0,0,0,3,0,0,0
SITE584,18,0-25,0,0,0,0,0,9,9,0,0,0
SITE586,3,0-25,0,0,0,0,0,0,3,0,0,0
SITE587,4,0-25,0,0,0,0,3,0,1,0,0,0
SITE59,10,0-25,0,0,3,0,4,0,3,0,0,0
SITE593,16,0-25,0,0,2,0,4,10,0,0,0,0
SITE595,48,26-50,0,0,11,20,0,0,17,0,0,0
SITE597,28,26-50,0,0,7,0,0,9,12,0,0,0
SITE598,9,0-25,0,0,0,6,0,2,1,0,0,0
SITE6,14,0-25,0,0,4,4,0,0,6,0,0,0
SITE601,4,0-25,0,0,0,0,4,0,0,0,0,0
SITE602,10,0-25,0,0,5,2,0,0,3,0,0,0
SITE606,14,0-25,0,0,4,0,3,3,4,0,0,0
SITE607,17,0-25,0,0,2,3,0,12,0,0,0,0
SITE610,22,0-25,0,0,3,4,4,0,11,0,0,0
SITE612,25,0-25,0,0,0,0,11,12,2,0,0,0
SITE616,24,0-25,0,0,4,8,8,0,4,0,0,0
SITE617,22,0-25,0,0,7,11,4,0,0,0,0,0
SITE620,19,0-25,0,0,7,8,0,4,0,0,0,0
SITE622,39,26-50,0,0,4,20,7,4,4,0,0,0
SITE623,27,26-50,0,0,0,0,5,11,11,0,0,0
SITE624,23,0-25,0,0,7,0,7,5,4,0,0,0
SITE626,13,0-25,0,0,5,4,4,0,0,0,0,0
SITE629,37,26-50,0,0,0,9,3,11,14,0,0,0
SITE639,30,26-50,0,0,0,8,7,8,7,0,0,0
SITE648,6,0-25,0,0,1,0,2,0,3,0,0,0
SITE65,13,0-25,0,0,8,2,0,3,0,0,0,0
SITE658,12,0-25,0,0,0,0,4,4,4,0,0,0
SITE66,8,0-25,0,0,3,0,0,0,5,0,0,0
SITE676,3,0-25,0,0,0,0,0,0,3,0,0,0
SITE683,11,0-25,0,0,0,0,0,4,7,0,0,0
SITE684,20,0-25,0,0,2,7,3,5,3,0,0,0
SITE692,31,26-50,0,0,0,11,0,8,12,0,0,0
SITE694,11,0-25,0,0,5,0,0,3,3,0,0,0
SITE7,54,51-75,0,0,4,22,8,12,8,0,0,0
SITE716,4,0-25,0,0,0,4,0,0,0,0,0,0
SITE719,23,0-25,0,0,0,11,0,12,0,0,0,0
SITE721,18,0-25,0,0,4,4,3,0,7,0,0,0
SITE722,47,26-50,0,0,3,15,15,0,14,0,0,0
SITE725,6,0-25,0,0,3,0,3,0,0,0,0,0
SITE73,30,26-50,0,0,14,0,1,5,10,0,0,0
SITE733,7,0-25,0,0,0,0,3,4,0,0,0,0
SITE734,24,0-25,0,0,0,0,8,8,8,0,0,0
SITE735,30,26-50,0,0,2,4,4,12,8,0,0,0
SITE739,27,26-50,0,0,0,0,4,9,14,0,0,0
SITE747,109,101-150,0,0,7,7,4,29,62,0,0,0
SITE749,3,0-25,0,0,0,0,3,0,0,0,0,0
SITE75,22,0-25,0,0,0,9,4,6,3,0,0,0
SITE760,184,151-200,0,0,0,0,0,10,174,0,0,0
SITE78,14,0-25,0,0,4,0,3,4,3,0,0,0
SITE8,40,26-50,0,0,5,12,12,8,3,0,0,0
SITE80,12,0-25,0,0,0,4,0,0,8,0,0,0
SITE801,3,0-25,0,0,0,0,3,0,0,0,0,0
SITE802,4,0-25,0,0,0,0,0,0,4,0,0,0
SITE807,4,0-25,0,0,0,0,0,4,0,0,0,0
SITE808,4,0-25,0,0,0,0,0,4,0,0,0,0
SITE81,24,0-25,0,0,16,0,2,0,6,0,0,0
SITE82,14,0-25,0,0,0,0,5,0,9,0,0,0
SITE821,8,0-25,0,0,0,4,4,0,0,0,0,0
SITE829,4,0-25,0,0,0,0,0,0,4,0,0,0
SITE831,12,0-25,0,0,0,4,0,4,4,0,0,0
SITE834,8,0-25,0,0,0,4,0,0,4,0,0,0
SITE84,40,26-50,0,0,10,18,6,6,0,0,0,0
SITE842,5,0-25,0,0,0,0,2,0,3,0,0,0
SITE844,8,0-25,0,0,4,4,0,0,0,0,0,0
SITE852,11,0-25,0,0,0,4,0,4,3,0,0,0
SITE86,19,0-25,0,0,6,8,4,0,1,0,0,0
SITE87,8,0-25,0,0,0,0,4,0,4,0,0,0
SITE871,7,0-25,0,0,0,0,0,4,3,0,0,0
SITE876,6,0-25,0,0,4,0,2,0,0,0,0,0
SITE892,2,0-25,0,0,0,1,0,0,1,0,0,0
SITE9,2,0-25,0,0,2,0,0,0,0,0,0,0
SITE91,1,0-25,0,0,0,0,1,0,0,0,0,0
SITE94,24,0-25,0,0,6,2,5,0,11,0,0,0
SITE95,7,0-25,0,0,0,0,1,0,6,0,0,0
SITE96,9,0-25,0,0,0,0,4,0,5,0,0,0
SITE98,48,26-50,0,0,8,10,13,7,10,0,0,0

Image Count Range,Number of Sites
0-25,229
26-50,65
51-75,12
76-100,4
101-150,2
151-200,2
201-300,1
301-500,0
501-1000,0
